timestamp,patient_id,rank,10000000
0.0,C,1,0.33832659833082573
0.0,A,2,0.3323984029201827
0.0,B,3,0.2706410148074486
0.5,C,1,0.33832659833082573
0.5,A,2,0.3323984029201827
0.5,B,3,0.2706410148074486
1.0,C,1,0.33832659833082573
1.0,A,2,0.3323984029201827
1.0,B,3,0.2706410148074486
1.5,C,1,0.33832659833082573
1.5,A,2,0.3323984029201827
1.5,B,3,0.2706410148074486
2.0,A,1,0.48191610234356025
2.0,C,2,0.33832659833082573
2.0,B,3,0.2706410148074486
2.5,A,1,0.48191610234356025
2.5,C,2,0.33832659833082573
2.5,B,3,0.2706410148074486
3.0,C,1,0.33832659833082573
3.0,A,2,0.3323984029201827
3.0,B,3,0.2706410148074486
3.5,C,1,0.33832659833082573
3.5,A,2,0.3323984029201827
3.5,B,3,0.2706410148074486
4.0,B,1,0.409065681662985
4.0,C,2,0.33832659833082573
4.0,A,3,0.3323984029201827
4.5,B,1,0.409065681662985
4.5,C,2,0.33832659833082573
4.5,A,3,0.3323984029201827
5.0,C,1,0.33832659833082573
5.0,A,2,0.3323984029201827
5.0,B,3,0.2706410148074486
5.5,C,1,0.33832659833082573
5.5,A,2,0.3323984029201827
5.5,B,3,0.2706410148074486
6.0,C,1,0.4889091365818874
6.0,A,2,0.3323984029201827
6.0,B,3,0.2706410148074486
6.5,C,1,0.4889091365818874
6.5,A,2,0.3323984029201827
6.5,B,3,0.2706410148074486
7.0,C,1,0.33832659833082573
7.0,A,2,0.3323984029201827
7.0,B,3,0.2706410148074486
7.5,C,1,0.33832659833082573
7.5,A,2,0.3323984029201827
7.5,B,3,0.2706410148074486
8.0,C,1,0.33832659833082573
8.0,A,2,0.3323984029201827
8.0,B,3,0.2706410148074486
8.5,C,1,0.33832659833082573
8.5,A,2,0.3323984029201827
8.5,B,3,0.2706410148074486
9.0,C,1,0.33832659833082573
9.0,A,2,0.3323984029201827
9.0,B,3,0.2706410148074486
9.5,C,1,0.33832659833082573
9.5,A,2,0.3323984029201827
9.5,B,3,0.2706410148074486
10.0,C,1,0.33832659833082573
10.0,A,2,0.3323984029201827
10.0,B,3,0.2706410148074486
